signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_short|pct26>=0.15,ALL,4,42,8.0,0.007971484193574626,-0.002747325931227118,0.4523809523809524,0.01262554843983999,0.5970149253731343,-0.004654064246265363,0.5802,-0.012483230036288121
comm_short|pct26>=0.15,ALL,8,42,8.0,0.00852763979250472,-0.003965108477213708,0.42857142857142855,0.026672622775896472,0.6102719033232629,-0.018144982983391754,0.726,-0.021439042877313266
comm_short|pct26>=0.15,ALL,13,42,8.0,0.030434241169739702,0.028358657488758654,0.6190476190476191,0.045571562169968736,0.6779141104294478,-0.015137321000229034,0.5992,-0.027867396187483653
comm_short|pct26>=0.15,ALL,26,42,8.0,0.05976747782978874,0.0512357118417297,0.6666666666666666,0.09718082370740687,0.7635782747603834,-0.03741334587761813,0.625,-0.04366847066169186
comm_short|pct26>=0.15,2023+,4,35,6.0,0.011320464971230175,-0.001676804489729622,0.4857142857142857,0.01849698735368388,0.6424581005586593,-0.007176522382453705,0.5152,-0.011175806635632097
comm_short|pct26>=0.15,2023+,8,35,6.0,0.016845761027254574,-0.0006620140387404438,0.4857142857142857,0.04127644240856628,0.68,-0.024430681381311707,0.634,-0.017704139030823424
comm_short|pct26>=0.15,2023+,13,35,6.0,0.042783669925123974,0.031763729710107436,0.7142857142857143,0.07129724925888474,0.8058823529411765,-0.028513579333760766,0.5436,-0.021520532918260955
comm_short|pct26>=0.15,2023+,26,35,6.0,0.09060540587244954,0.12785855226478304,0.7714285714285715,0.16260157757521554,0.9235668789808917,-0.071996171702766,0.5006,-0.03142042882341094
comm_short|pct26>=0.15,2020-22,4,7,2.0,-0.008773419694703117,-0.019554507812736044,0.2857142857142857,0.00588844866049347,0.5448717948717948,-0.014661868355196587,0.7804,-0.019020347039568248
comm_short|pct26>=0.15,2020-22,8,7,2.0,-0.033062966381244556,-0.03722318681653414,0.14285714285714285,0.010290132803350205,0.532051282051282,-0.04335309918459476,0.9072,-0.04011356210976247
comm_short|pct26>=0.15,2020-22,13,7,2.0,-0.031312902607181684,-0.04183283526140957,0.14285714285714285,0.0175371595730731,0.5384615384615384,-0.04885006218025478,0.8906,-0.05960171253359714
comm_short|pct26>=0.15,2020-22,26,7,2.0,-0.09442216238351538,-0.12793506669304544,0.14285714285714285,0.03134070603275328,0.6025641025641025,-0.12576286841626866,0.987762594330002,-0.10490867985309647
comm_long|z4>=2.0,ALL,4,8,5.0,0.03214195914537066,0.026287054071392646,0.75,0.01262554843983999,0.5970149253731343,0.019516410705530667,0.1416,0.0029555778539816363
comm_long|z4>=2.0,ALL,8,8,5.0,0.023349336836558293,0.014983510579171744,0.5,0.026672622775896472,0.6102719033232629,-0.003323285939338179,0.5408,-0.013552633216880966
comm_long|z4>=2.0,ALL,13,8,5.0,0.014035510344255653,0.027958799690081748,0.625,0.045571562169968736,0.6779141104294478,-0.031536051825713084,0.799,-0.020692017119845765
comm_long|z4>=2.0,ALL,26,8,5.0,0.057488898131458674,0.06237994610284281,0.75,0.09718082370740687,0.7635782747603834,-0.039691925575948195,0.743,-0.036154874790640806
comm_long|z4>=2.0,2023+,4,3,1.0,0.07948347498422963,0.08739134064996135,1.0,0.01849698735368388,0.6424581005586593,0.060986487630545747,0.04426559356136821,0.026260389584356354
comm_long|z4>=2.0,2023+,8,3,1.0,0.08498393241389064,0.09492907571133014,1.0,0.04127644240856628,0.68,0.04370749000532436,0.18747458316388776,0.022138657411855684
comm_long|z4>=2.0,2023+,13,3,1.0,0.06533337548042047,0.07211571767031377,1.0,0.07129724925888474,0.8058823529411765,-0.005963873778464274,0.3968253968253968,0.02090109277186906
comm_long|z4>=2.0,2023+,26,3,1.0,0.19942165045770044,0.19600894323273743,1.0,0.16260157757521554,0.9235668789808917,0.0368200728824849,0.2044625616820425,0.02090109277186906
comm_long|z4>=2.0,2020-22,4,5,4.0,0.003737049642055279,0.011520337158007932,0.6,0.00588844866049347,0.5448717948717948,-0.002151399018438191,0.597,-0.011027309184243194
comm_long|z4>=2.0,2020-22,8,5,4.0,-0.013631420509841119,-0.03031759080225549,0.2,0.010290132803350205,0.532051282051282,-0.023921553313191325,0.8814,-0.03496740759412296
comm_long|z4>=2.0,2020-22,13,5,4.0,-0.016743208737443237,-0.04055274461901848,0.4,0.0175371595730731,0.5384615384615384,-0.03428036831051634,0.9146,-0.04564788305487466
comm_long|z4>=2.0,2020-22,26,5,4.0,-0.027670753264286384,5.417998591328299e-06,0.6,0.03134070603275328,0.6025641025641025,-0.059011459297039666,0.95,-0.07038845532814672
comm_long|z4>=1.5,ALL,4,24,12.0,0.027619883973910426,0.014298154504983063,0.7083333333333334,0.01262554843983999,0.5970149253731343,0.014994335534070436,0.1094,-0.007708073363003405
